,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class_1,Class_2
0,"tf.Tensor(0.56855917, shape=(), dtype=float32)","tf.Tensor(0.87197113, shape=(), dtype=float32)","tf.Tensor(0.4630016, shape=(), dtype=float32)","tf.Tensor(0.79838455, shape=(), dtype=float32)","tf.Tensor(0.387545, shape=(), dtype=float32)","tf.Tensor(0.6122558, shape=(), dtype=float32)","tf.Tensor(0.5859776, shape=(), dtype=float32)","tf.Tensor(0.83183646, shape=(), dtype=float32)","tf.Tensor(0.63067675, shape=(), dtype=float32)","tf.Tensor(0.677898, shape=(), dtype=float32)","tf.Tensor(0.7162167, shape=(), dtype=float32)","tf.Tensor(0.51557183, shape=(), dtype=float32)","tf.Tensor(0.79299563, shape=(), dtype=float32)","tf.Tensor(0.23668458, shape=(), dtype=float32)","tf.Tensor(0.370163, shape=(), dtype=float32)","tf.Tensor(0.77651954, shape=(), dtype=float32)","tf.Tensor(0.69077826, shape=(), dtype=float32)","tf.Tensor(0.7809523, shape=(), dtype=float32)","tf.Tensor(0.73702717, shape=(), dtype=float32)","tf.Tensor(0.4261367, shape=(), dtype=float32)","tf.Tensor(0.19609655, shape=(), dtype=float32)","tf.Tensor(0.5828431, shape=(), dtype=float32)","tf.Tensor(0.41915536, shape=(), dtype=float32)","tf.Tensor(0.8041192, shape=(), dtype=float32)","tf.Tensor(0.35587528, shape=(), dtype=float32)","tf.Tensor(0.7835583, shape=(), dtype=float32)","tf.Tensor(0.48531702, shape=(), dtype=float32)","tf.Tensor(0.850219, shape=(), dtype=float32)","tf.Tensor(0.5851852, shape=(), dtype=float32)","tf.Tensor(-0.048748765, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
1,"tf.Tensor(0.52030736, shape=(), dtype=float32)","tf.Tensor(0.9193799, shape=(), dtype=float32)","tf.Tensor(0.4784349, shape=(), dtype=float32)","tf.Tensor(0.8604327, shape=(), dtype=float32)","tf.Tensor(0.44181907, shape=(), dtype=float32)","tf.Tensor(0.67656845, shape=(), dtype=float32)","tf.Tensor(0.6570515, shape=(), dtype=float32)","tf.Tensor(0.87652546, shape=(), dtype=float32)","tf.Tensor(0.73449254, shape=(), dtype=float32)","tf.Tensor(0.74495053, shape=(), dtype=float32)","tf.Tensor(0.85371584, shape=(), dtype=float32)","tf.Tensor(0.31117862, shape=(), dtype=float32)","tf.Tensor(0.8619913, shape=(), dtype=float32)","tf.Tensor(0.57529444, shape=(), dtype=float32)","tf.Tensor(0.69248444, shape=(), dtype=float32)","tf.Tensor(0.56509113, shape=(), dtype=float32)","tf.Tensor(0.7602115, shape=(), dtype=float32)","tf.Tensor(0.7816024, shape=(), dtype=float32)","tf.Tensor(0.674588, shape=(), dtype=float32)","tf.Tensor(0.3924145, shape=(), dtype=float32)","tf.Tensor(0.28867725, shape=(), dtype=float32)","tf.Tensor(0.5761378, shape=(), dtype=float32)","tf.Tensor(0.64856833, shape=(), dtype=float32)","tf.Tensor(0.76706785, shape=(), dtype=float32)","tf.Tensor(0.7091677, shape=(), dtype=float32)","tf.Tensor(0.82285655, shape=(), dtype=float32)","tf.Tensor(0.43140876, shape=(), dtype=float32)","tf.Tensor(0.85225445, shape=(), dtype=float32)","tf.Tensor(0.58769536, shape=(), dtype=float32)","tf.Tensor(0.23211297, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
2,"tf.Tensor(0.6761913, shape=(), dtype=float32)","tf.Tensor(0.9222607, shape=(), dtype=float32)","tf.Tensor(0.48175433, shape=(), dtype=float32)","tf.Tensor(0.8798926, shape=(), dtype=float32)","tf.Tensor(0.5543279, shape=(), dtype=float32)","tf.Tensor(0.70156217, shape=(), dtype=float32)","tf.Tensor(0.49942672, shape=(), dtype=float32)","tf.Tensor(0.8796417, shape=(), dtype=float32)","tf.Tensor(0.7993201, shape=(), dtype=float32)","tf.Tensor(0.8097327, shape=(), dtype=float32)","tf.Tensor(0.7177233, shape=(), dtype=float32)","tf.Tensor(0.5556717, shape=(), dtype=float32)","tf.Tensor(0.7165625, shape=(), dtype=float32)","tf.Tensor(0.7165977, shape=(), dtype=float32)","tf.Tensor(0.4307171, shape=(), dtype=float32)","tf.Tensor(0.88038355, shape=(), dtype=float32)","tf.Tensor(0.39810434, shape=(), dtype=float32)","tf.Tensor(0.4358681, shape=(), dtype=float32)","tf.Tensor(0.49889356, shape=(), dtype=float32)","tf.Tensor(0.8326502, shape=(), dtype=float32)","tf.Tensor(0.26674142, shape=(), dtype=float32)","tf.Tensor(0.6550372, shape=(), dtype=float32)","tf.Tensor(0.6361443, shape=(), dtype=float32)","tf.Tensor(0.87812984, shape=(), dtype=float32)","tf.Tensor(0.9063038, shape=(), dtype=float32)","tf.Tensor(0.7022273, shape=(), dtype=float32)","tf.Tensor(0.50495535, shape=(), dtype=float32)","tf.Tensor(0.774473, shape=(), dtype=float32)","tf.Tensor(0.7071411, shape=(), dtype=float32)","tf.Tensor(-0.007740195, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
3,"tf.Tensor(0.6271768, shape=(), dtype=float32)","tf.Tensor(0.9416242, shape=(), dtype=float32)","tf.Tensor(0.2588655, shape=(), dtype=float32)","tf.Tensor(0.9252454, shape=(), dtype=float32)","tf.Tensor(0.25837582, shape=(), dtype=float32)","tf.Tensor(0.63966095, shape=(), dtype=float32)","tf.Tensor(0.6151249, shape=(), dtype=float32)","tf.Tensor(0.91328853, shape=(), dtype=float32)","tf.Tensor(0.7042361, shape=(), dtype=float32)","tf.Tensor(0.7341828, shape=(), dtype=float32)","tf.Tensor(0.8397618, shape=(), dtype=float32)","tf.Tensor(0.18514864, shape=(), dtype=float32)","tf.Tensor(0.87334657, shape=(), dtype=float32)","tf.Tensor(0.31709802, shape=(), dtype=float32)","tf.Tensor(0.64098686, shape=(), dtype=float32)","tf.Tensor(0.75303847, shape=(), dtype=float32)","tf.Tensor(0.779973, shape=(), dtype=float32)","tf.Tensor(0.82742167, shape=(), dtype=float32)","tf.Tensor(0.77471876, shape=(), dtype=float32)","tf.Tensor(0.38126454, shape=(), dtype=float32)","tf.Tensor(0.25287277, shape=(), dtype=float32)","tf.Tensor(0.4741907, shape=(), dtype=float32)","tf.Tensor(0.6199454, shape=(), dtype=float32)","tf.Tensor(0.8055956, shape=(), dtype=float32)","tf.Tensor(0.7318334, shape=(), dtype=float32)","tf.Tensor(0.81029445, shape=(), dtype=float32)","tf.Tensor(0.43008208, shape=(), dtype=float32)","tf.Tensor(0.7436537, shape=(), dtype=float32)","tf.Tensor(0.6214072, shape=(), dtype=float32)","tf.Tensor(0.07637375, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
4,"tf.Tensor(0.32016608, shape=(), dtype=float32)","tf.Tensor(0.7516474, shape=(), dtype=float32)","tf.Tensor(0.42619988, shape=(), dtype=float32)","tf.Tensor(0.66941667, shape=(), dtype=float32)","tf.Tensor(0.49050263, shape=(), dtype=float32)","tf.Tensor(0.5617929, shape=(), dtype=float32)","tf.Tensor(0.3413437, shape=(), dtype=float32)","tf.Tensor(0.7366108, shape=(), dtype=float32)","tf.Tensor(0.62513655, shape=(), dtype=float32)","tf.Tensor(0.6008241, shape=(), dtype=float32)","tf.Tensor(0.5190669, shape=(), dtype=float32)","tf.Tensor(0.57063425, shape=(), dtype=float32)","tf.Tensor(0.45907062, shape=(), dtype=float32)","tf.Tensor(0.41407183, shape=(), dtype=float32)","tf.Tensor(0.18820564, shape=(), dtype=float32)","tf.Tensor(0.7083915, shape=(), dtype=float32)","tf.Tensor(0.41960236, shape=(), dtype=float32)","tf.Tensor(0.44407594, shape=(), dtype=float32)","tf.Tensor(0.51986265, shape=(), dtype=float32)","tf.Tensor(0.6456303, shape=(), dtype=float32)","tf.Tensor(0.22122209, shape=(), dtype=float32)","tf.Tensor(0.5284899, shape=(), dtype=float32)","tf.Tensor(0.37587312, shape=(), dtype=float32)","tf.Tensor(0.72044146, shape=(), dtype=float32)","tf.Tensor(0.6582394, shape=(), dtype=float32)","tf.Tensor(0.64935386, shape=(), dtype=float32)","tf.Tensor(0.37394863, shape=(), dtype=float32)","tf.Tensor(0.7133549, shape=(), dtype=float32)","tf.Tensor(0.62730765, shape=(), dtype=float32)","tf.Tensor(0.03694181, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
5,"tf.Tensor(0.7189897, shape=(), dtype=float32)","tf.Tensor(0.9716853, shape=(), dtype=float32)","tf.Tensor(0.28750086, shape=(), dtype=float32)","tf.Tensor(0.9672154, shape=(), dtype=float32)","tf.Tensor(0.18826418, shape=(), dtype=float32)","tf.Tensor(0.7336029, shape=(), dtype=float32)","tf.Tensor(0.6741729, shape=(), dtype=float32)","tf.Tensor(0.94588196, shape=(), dtype=float32)","tf.Tensor(0.6945434, shape=(), dtype=float32)","tf.Tensor(0.9138276, shape=(), dtype=float32)","tf.Tensor(0.90603054, shape=(), dtype=float32)","tf.Tensor(-0.14223753, shape=(), dtype=float32)","tf.Tensor(0.9523515, shape=(), dtype=float32)","tf.Tensor(0.6261329, shape=(), dtype=float32)","tf.Tensor(0.79934996, shape=(), dtype=float32)","tf.Tensor(0.75909317, shape=(), dtype=float32)","tf.Tensor(0.79300255, shape=(), dtype=float32)","tf.Tensor(0.83816195, shape=(), dtype=float32)","tf.Tensor(0.73587346, shape=(), dtype=float32)","tf.Tensor(0.5424182, shape=(), dtype=float32)","tf.Tensor(0.31428635, shape=(), dtype=float32)","tf.Tensor(0.3965628, shape=(), dtype=float32)","tf.Tensor(0.5670036, shape=(), dtype=float32)","tf.Tensor(0.8745613, shape=(), dtype=float32)","tf.Tensor(0.9042163, shape=(), dtype=float32)","tf.Tensor(0.7795078, shape=(), dtype=float32)","tf.Tensor(0.48122507, shape=(), dtype=float32)","tf.Tensor(0.74862015, shape=(), dtype=float32)","tf.Tensor(0.7392736, shape=(), dtype=float32)","tf.Tensor(0.14915901, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
6,"tf.Tensor(0.6893402, shape=(), dtype=float32)","tf.Tensor(0.9702291, shape=(), dtype=float32)","tf.Tensor(0.2894897, shape=(), dtype=float32)","tf.Tensor(0.97155076, shape=(), dtype=float32)","tf.Tensor(0.20215414, shape=(), dtype=float32)","tf.Tensor(0.65757376, shape=(), dtype=float32)","tf.Tensor(0.64509106, shape=(), dtype=float32)","tf.Tensor(0.94546306, shape=(), dtype=float32)","tf.Tensor(0.7403453, shape=(), dtype=float32)","tf.Tensor(0.8478381, shape=(), dtype=float32)","tf.Tensor(0.87270963, shape=(), dtype=float32)","tf.Tensor(0.044348747, shape=(), dtype=float32)","tf.Tensor(0.9289057, shape=(), dtype=float32)","tf.Tensor(0.40611464, shape=(), dtype=float32)","tf.Tensor(0.69256794, shape=(), dtype=float32)","tf.Tensor(0.7827238, shape=(), dtype=float32)","tf.Tensor(0.7325384, shape=(), dtype=float32)","tf.Tensor(0.8202151, shape=(), dtype=float32)","tf.Tensor(0.7565122, shape=(), dtype=float32)","tf.Tensor(0.545462, shape=(), dtype=float32)","tf.Tensor(0.26335967, shape=(), dtype=float32)","tf.Tensor(0.4854972, shape=(), dtype=float32)","tf.Tensor(0.63435775, shape=(), dtype=float32)","tf.Tensor(0.8313487, shape=(), dtype=float32)","tf.Tensor(0.8830935, shape=(), dtype=float32)","tf.Tensor(0.7764926, shape=(), dtype=float32)","tf.Tensor(0.3547879, shape=(), dtype=float32)","tf.Tensor(0.76025295, shape=(), dtype=float32)","tf.Tensor(0.7579012, shape=(), dtype=float32)","tf.Tensor(0.11040114, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
7,"tf.Tensor(0.49876493, shape=(), dtype=float32)","tf.Tensor(0.8400629, shape=(), dtype=float32)","tf.Tensor(0.40114558, shape=(), dtype=float32)","tf.Tensor(0.75116676, shape=(), dtype=float32)","tf.Tensor(0.51492614, shape=(), dtype=float32)","tf.Tensor(0.53162664, shape=(), dtype=float32)","tf.Tensor(0.5725872, shape=(), dtype=float32)","tf.Tensor(0.78668326, shape=(), dtype=float32)","tf.Tensor(0.67888004, shape=(), dtype=float32)","tf.Tensor(0.55746907, shape=(), dtype=float32)","tf.Tensor(0.6454634, shape=(), dtype=float32)","tf.Tensor(0.424414, shape=(), dtype=float32)","tf.Tensor(0.6371169, shape=(), dtype=float32)","tf.Tensor(0.54060125, shape=(), dtype=float32)","tf.Tensor(0.23384978, shape=(), dtype=float32)","tf.Tensor(0.7947606, shape=(), dtype=float32)","tf.Tensor(0.51186585, shape=(), dtype=float32)","tf.Tensor(0.45808882, shape=(), dtype=float32)","tf.Tensor(0.50184083, shape=(), dtype=float32)","tf.Tensor(0.5497442, shape=(), dtype=float32)","tf.Tensor(0.1884969, shape=(), dtype=float32)","tf.Tensor(0.5764385, shape=(), dtype=float32)","tf.Tensor(0.41775107, shape=(), dtype=float32)","tf.Tensor(0.7594029, shape=(), dtype=float32)","tf.Tensor(0.5864653, shape=(), dtype=float32)","tf.Tensor(0.73778516, shape=(), dtype=float32)","tf.Tensor(0.55684274, shape=(), dtype=float32)","tf.Tensor(0.76652855, shape=(), dtype=float32)","tf.Tensor(0.571426, shape=(), dtype=float32)","tf.Tensor(-0.1536058, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
8,"tf.Tensor(0.6271704, shape=(), dtype=float32)","tf.Tensor(0.9186965, shape=(), dtype=float32)","tf.Tensor(0.28825772, shape=(), dtype=float32)","tf.Tensor(0.8496156, shape=(), dtype=float32)","tf.Tensor(0.47669187, shape=(), dtype=float32)","tf.Tensor(0.7246565, shape=(), dtype=float32)","tf.Tensor(0.65332747, shape=(), dtype=float32)","tf.Tensor(0.8918849, shape=(), dtype=float32)","tf.Tensor(0.7018212, shape=(), dtype=float32)","tf.Tensor(0.703661, shape=(), dtype=float32)","tf.Tensor(0.8047165, shape=(), dtype=float32)","tf.Tensor(0.55149406, shape=(), dtype=float32)","tf.Tensor(0.8119055, shape=(), dtype=float32)","tf.Tensor(0.45885545, shape=(), dtype=float32)","tf.Tensor(0.42730895, shape=(), dtype=float32)","tf.Tensor(0.8416691, shape=(), dtype=float32)","tf.Tensor(0.6850662, shape=(), dtype=float32)","tf.Tensor(0.7224158, shape=(), dtype=float32)","tf.Tensor(0.75650847, shape=(), dtype=float32)","tf.Tensor(0.51242286, shape=(), dtype=float32)","tf.Tensor(0.22665691, shape=(), dtype=float32)","tf.Tensor(0.634929, shape=(), dtype=float32)","tf.Tensor(0.6451154, shape=(), dtype=float32)","tf.Tensor(0.8994935, shape=(), dtype=float32)","tf.Tensor(0.16265655, shape=(), dtype=float32)","tf.Tensor(0.8735164, shape=(), dtype=float32)","tf.Tensor(0.61661345, shape=(), dtype=float32)","tf.Tensor(0.89885485, shape=(), dtype=float32)","tf.Tensor(0.5725716, shape=(), dtype=float32)","tf.Tensor(0.045985833, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
9,"tf.Tensor(0.26342383, shape=(), dtype=float32)","tf.Tensor(0.5970572, shape=(), dtype=float32)","tf.Tensor(0.49118087, shape=(), dtype=float32)","tf.Tensor(0.5429671, shape=(), dtype=float32)","tf.Tensor(0.74205977, shape=(), dtype=float32)","tf.Tensor(0.45656583, shape=(), dtype=float32)","tf.Tensor(0.24021544, shape=(), dtype=float32)","tf.Tensor(0.69884735, shape=(), dtype=float32)","tf.Tensor(0.7318966, shape=(), dtype=float32)","tf.Tensor(0.41986173, shape=(), dtype=float32)","tf.Tensor(0.46072128, shape=(), dtype=float32)","tf.Tensor(0.7946647, shape=(), dtype=float32)","tf.Tensor(0.036124863, shape=(), dtype=float32)","tf.Tensor(0.65271246, shape=(), dtype=float32)","tf.Tensor(0.12762375, shape=(), dtype=float32)","tf.Tensor(0.70690256, shape=(), dtype=float32)","tf.Tensor(0.17149158, shape=(), dtype=float32)","tf.Tensor(0.1664229, shape=(), dtype=float32)","tf.Tensor(0.34333032, shape=(), dtype=float32)","tf.Tensor(0.71017075, shape=(), dtype=float32)","tf.Tensor(0.12212365, shape=(), dtype=float32)","tf.Tensor(0.5548421, shape=(), dtype=float32)","tf.Tensor(0.4871863, shape=(), dtype=float32)","tf.Tensor(0.80163, shape=(), dtype=float32)","tf.Tensor(0.6454006, shape=(), dtype=float32)","tf.Tensor(0.6600527, shape=(), dtype=float32)","tf.Tensor(0.46700993, shape=(), dtype=float32)","tf.Tensor(0.73751545, shape=(), dtype=float32)","tf.Tensor(0.36100206, shape=(), dtype=float32)","tf.Tensor(-0.0026544586, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
